Date,MI/GAL
3,31.074
3,36.100
3,29.986
4,27.550
4,32.502
4,34.879
4,30.411
5,32.026
5,34.800
5,35.866
5,31.651
5,31.865
6,34.420
6,30.883
6,35.151
6,33.692
6,38.809
6,36.233
6,35.182
7,34.805
7,35.747
8,33.636
8,33.057
8,31.538
8,34.504
8,37.799
8,34.631
9,36.620
9,37.800
9,34.157
9,34.788
9,33.508
10,31.556
10,32.673
10,41.400
10,36.193
10,35.228
10,33.000
10,33.811
11,31.234
11,27.483
11,35.445
11,30.449
12,25.094
12,24.499
12,21.708
12,24.884
12,26.768
12,32.889
1,25.232
1,27.771
1,37.232
1,27.450
1,32.903
2,25.014
2,25.479
2,28.586
2,27.362
3,36.513
3,29.436
3,31.093
3,35.970
3,29.281
4,32.873
4,30.431
4,31.245
4,31.646
4,33.928
5,30.366
5,36.418
5,30.866
5,31.797
6,35.150
6,31.327
6,38.376
6,33.847
7,33.533
7,39.043
7,30.337
7,39.991
7,38.803
7,33.426
7,29.911
7,40.526
7,36.305
7,36.032
7,37.765
8,40.612
8,37.366
8,33.812
8,34.347
8,36.093
8,37.715
9,37.611
9,40.875
9,24.135
9,36.531
10,41.158
10,29.586
10,33.988
10,32.399
10,32.531
11,31.346
11,31.332
11,31.709
11,32.144
11,25.421
11,37.769
12,21.587
12,28.087
12,26.452
12,25.554
12,32.091
1,23.939
1,25.236
1,27.912
1,30.111
2,22.788
2,27.395
2,25.457
2,24.945
3,24.390
3,26.789
3,28.590
3,27.669
4,25.198
4,31.104
4,38.259
4,32.064
5,29.333
5,31.530
5,33.861
5,30.005
6,32.629
6,30.216
6,32.562
7,41.167
7,41.532
7,38.755
7,38.315
7,38.140
7,38.559
7,42.545
7,35.624
8,35.668
8,28.048
8,37.742
8,38.199
8,37.164
8,41.418
8,35.974
8,34.646
8,33.985
9,31.686
9,33.749
10,31.600
10,31.531
10,30.489
11,29.755
11,28.170
11,30.672
11,26.088
12,30.002
12,28.396
12,27.736
1,30.091
1,25.713
1,34.545
1,31.882
1,34.594
2,33.605
2,34.436
2,29.987
2,29.624
2,35.700
2,35.121
3,27.178
3,35.274
3,33.116
3,31.648
4,32.967
4,33.328
4,23.683
4,33.121
5,27.851
5,37.184
5,33.580
5,32.990
5,32.331
6,36.111
6,35.576
6,37.761
6,30.173
6,33.204
7,33.653
7,32.731
7,34.762
7,33.861
7,39.575
8,35.914
8,32.805
8,31.862
8,31.862
8,41.755
8,33.911
9,32.811
9,34.598
9,32.363
10,29.658
10,31.537
10,23.974
10,28.381
11,27.636
11,31.513
11,29.741
12,31.493
12,30.251
12,28.386
1,28.360
1,32.369
1,35.143
1,32.038
1,35.431
1,32.397
1,34.656
1,31.778
2,31.682
2,29.356
3,29.470
3,29.667
4,29.160
4,31.317
4,31.757
5,33.446
5,34.855
5,34.489
5,35.712
6,36.241
6,32.592
7,30.414
7,32.661
7,37.204
7,33.381
8,35.412
8,31.661
8,36.689
8,38.912
8,36.018
8,33.926
8,37.588
8,36.416
8,31.263
8,30.890
8,33.769
8,33.276
8,35.490
8,37.274
9,37.126
9,30.779
10,30.874
10,31.045
10,29.157
11,28.776
11,25.645
12,25.657
12,28.851
1,28.851
1,28.392
1,33.461
2,34.560
2,25.788
2,26.307
3,25.729
3,24.258
4,24.258
4,31.633
4,31.730
5,29.945
5,33.316
6,33.369
6,30.429
6,31.049
7,35.259
7,42.271
7,36.678
7,34.799
8,35.105
8,37.128
8,33.753
8,34.319
8,24.170
8,39.536
8,24.838
9,39.124
9,33.098
9,31.101
9,28.459
9,35.043
10,34.086
10,33.177
10,30.786
11,29.695
11,26.433
12,26.282
12,30.447
12,30.931
2,34.129
2,25.002
3,28.175
4,29.774
4,33.869
6,34.418
6,40.314
7,34.185
7,37.980
7,32.303
7,34.099
7,33.114
7,31.867
8,30.664
8,30.391
8,34.251
8,35.119
9,37.077
9,30.142
9,43.067
9,36.406
9,36.121
1,29.569
1,28.812
